fighter_id,height_cm,reach_cm
117562,178.0,
142011,174.0,
156751,173.0,179.0
171340,,
176699,,
179821,,
181862,,
18297,173.0,178.0
184324,165.0,166.0
200333,191.0,198.0
200630,175.0,180.0
200636,173.0,173.0
200638,182.0,182.0
200682,202.0,208.0
200689,178.0,188.0
200693,175.0,
200820,185.0,191.0
201051,196.0,196.0
201060,185.0,173.0
201278,157.0,160.0
201848,183.0,185.0
202041,185.0,198.0
202082,165.0,173.0
202085,174.0,174.0
202088,177.0,
202102,188.0,202.0
202679,180.0,191.0
202689,155.0,154.0
202691,198.0,194.0
202701,176.0,178.0
202714,206.0,216.0
202716,201.0,211.0
202783,198.0,203.0
202787,164.0,170.0
202953,180.0,182.0
202954,170.0,
202958,173.0,174.0
202960,170.0,
202965,168.0,170.0
202971,170.0,173.0
202976,170.0,
203032,185.0,
203606,173.0,180.0
203607,163.0,163.0
203608,170.0,183.0
203609,173.0,174.0
203614,170.0,183.0
203636,174.0,165.0
203809,189.0,191.0
203819,175.0,183.0
203822,175.0,169.0
203826,178.0,183.0
203830,175.0,177.0
204009,193.0,193.0
204385,198.0,201.0
204394,180.0,
204410,168.0,178.0
204420,183.0,185.0
204534,177.0,178.0
204537,178.0,178.0
204579,160.0,152.0
204581,196.0,198.0
204583,185.0,
204587,168.0,
204588,191.0,191.0
204590,170.0,
204594,,
204762,178.0,
204765,183.0,
204797,174.0,
205173,170.0,170.0
205176,180.0,183.0
205177,178.0,
205180,188.0,
205183,193.0,
205185,183.0,203.0
205194,183.0,185.0
205208,198.0,216.0
205226,193.0,198.0
205229,170.0,
205233,168.0,168.0
205234,188.0,189.0
205235,173.0,175.0
205240,196.0,198.0
205779,180.0,183.0
205781,180.0,
205898,165.0,163.0
205900,163.0,163.0
205907,165.0,169.0
205909,163.0,165.0
206790,175.0,180.0
206967,175.0,180.0
207207,185.0,188.0
207208,173.0,183.0
207230,178.0,178.0
207442,170.0,170.0
207807,173.0,173.0
207809,180.0,185.0
207813,178.0,179.0
207825,166.0,173.0
207827,183.0,187.0
207905,175.0,173.0
207942,163.0,
207985,185.0,185.0
207989,177.0,173.0
208134,178.0,188.0
208136,170.0,165.0
208140,185.0,194.0
208604,173.0,178.0
208655,173.0,183.0
208709,175.0,180.0
208899,157.0,163.0
208923,183.0,183.0
208948,191.0,193.0
208960,173.0,180.0
208964,169.0,170.0
208966,178.0,178.0
208968,180.0,201.0
208979,173.0,
208994,178.0,
209032,170.0,170.0
209102,175.0,183.0
209351,173.0,174.0
209387,185.0,
209404,163.0,
209448,174.0,183.0
209452,183.0,185.0
209454,180.0,178.0
209542,173.0,177.0
209721,189.0,189.0
210038,166.0,171.0
210040,177.0,189.0
210048,173.0,178.0
210052,183.0,178.0
210085,168.0,163.0
210087,168.0,169.0
210114,178.0,184.0
210115,173.0,179.0
210186,174.0,180.0
210192,163.0,163.0
210223,196.0,203.0
210482,183.0,183.0
210492,180.0,178.0
210496,170.0,183.0
210512,173.0,175.0
210562,163.0,169.0
210573,175.0,174.0
210606,178.0,185.0
210664,191.0,203.0
210712,175.0,192.0
210747,183.0,193.0
210762,188.0,189.0
210769,168.0,163.0
210772,168.0,
210784,194.0,202.0
210791,170.0,170.0
210792,178.0,
210793,177.0,176.0
210794,180.0,
210802,175.0,171.0
210859,196.0,210.0
211257,168.0,
212010,198.0,208.0
212555,163.0,165.0
212573,177.0,177.0
212737,175.0,175.0
212882,173.0,188.0
212890,174.0,183.0
212898,170.0,
212900,170.0,170.0
213043,175.0,178.0
213066,191.0,
213069,170.0,
213081,188.0,191.0
213253,178.0,
213287,193.0,201.0
213301,178.0,
213310,175.0,175.0
213313,173.0,173.0
213352,174.0,173.0
213375,185.0,188.0
213402,165.0,169.0
213418,178.0,178.0
213432,175.0,182.0
213491,178.0,
213624,182.0,
214410,175.0,
214485,173.0,173.0
214488,178.0,178.0
214924,173.0,174.0
215023,185.0,185.0
215030,168.0,169.0
215031,165.0,171.0
215032,173.0,170.0
215035,171.0,173.0
215049,180.0,183.0
215280,170.0,173.0
215452,170.0,
215455,178.0,
215466,,
215714,168.0,174.0
215808,165.0,165.0
215850,188.0,
215852,169.0,173.0
215880,170.0,175.0
215997,198.0,
216017,175.0,180.0
216044,197.0,198.0
216056,175.0,175.0
216057,175.0,174.0
216288,188.0,
216723,173.0,
216923,168.0,
217003,168.0,
217030,185.0,193.0
217034,173.0,
217183,191.0,208.0
217234,170.0,173.0
217315,168.0,165.0
217318,173.0,
217814,198.0,
217829,188.0,
217830,182.0,
218203,183.0,
218207,178.0,180.0
219229,201.0,202.0
219505,165.0,
219745,182.0,185.0
219747,168.0,169.0
219823,175.0,183.0
219828,180.0,180.0
219836,173.0,183.0
219935,178.0,178.0
219937,160.0,163.0
220098,172.0,175.0
220108,173.0,175.0
220306,173.0,173.0
220873,185.0,
221419,177.0,
221663,170.0,175.0
221703,180.0,
222010,168.0,
222047,183.0,
222379,188.0,193.0
222381,165.0,164.0
222455,168.0,175.0
222458,173.0,
222503,190.0,201.0
222527,178.0,183.0
222790,173.0,
223576,191.0,191.0
223582,173.0,170.0
223618,175.0,
223623,173.0,
223626,175.0,
223627,183.0,188.0
223629,171.0,
223632,170.0,
223634,168.0,175.0
223636,198.0,208.0
223782,198.0,203.0
223809,175.0,179.0
224555,170.0,175.0
224556,185.0,180.0
224591,163.0,173.0
224628,177.0,
224631,170.0,
224681,165.0,160.0
224897,170.0,170.0
225929,182.0,183.0
225967,165.0,165.0
227595,177.0,179.0
228263,185.0,188.0
228371,183.0,
228850,178.0,168.0
228969,201.0,208.0
229150,190.0,
230372,183.0,178.0
230551,173.0,183.0
230581,163.0,
230641,185.0,188.0
230750,173.0,173.0
232393,168.0,173.0
232684,178.0,180.0
233047,185.0,199.0
233508,168.0,170.0
234079,173.0,
234080,177.0,
236572,185.0,
236794,170.0,
237195,193.0,199.0
237717,,
238366,177.0,
238570,178.0,188.0
239241,179.0,185.0
239242,,
240555,173.0,178.0
240605,175.0,177.0
240915,182.0,
241412,191.0,198.0
241459,189.0,
241982,198.0,203.0
243301,175.0,183.0
243792,171.0,175.0
244227,,
244331,174.0,
247588,193.0,
247589,178.0,
248052,177.0,174.0
248054,185.0,193.0
249234,188.0,
249777,183.0,
250359,165.0,
251548,175.0,180.0
252855,178.0,
254466,183.0,
254698,155.0,157.0
254911,183.0,185.0
255753,163.0,
255758,170.0,
256874,188.0,
257243,164.0,
25859,175.0,
260109,188.0,198.0
264568,167.0,
264937,170.0,
266063,182.0,180.0
268933,178.0,
269321,173.0,185.0
271004,180.0,
271268,180.0,
271349,180.0,173.0
271494,196.0,
271729,178.0,
272182,170.0,168.0
272559,193.0,194.0
273370,170.0,
275029,193.0,
279561,185.0,185.0
281923,196.0,
281924,168.0,
283700,178.0,177.0
284892,175.0,178.0
285231,198.0,198.0
28588,170.0,
291555,185.0,
291944,175.0,175.0
294274,177.0,171.0
296107,179.0,
297258,175.0,178.0
298841,173.0,183.0
305435,183.0,188.0
305664,170.0,165.0
306024,168.0,
307142,191.0,196.0
308028,183.0,183.0
308213,180.0,
311823,166.0,170.0
312869,,
314103,175.0,188.0
315622,180.0,180.0
315862,183.0,183.0
320026,166.0,174.0
320407,163.0,163.0
321888,188.0,193.0
322078,193.0,
322402,198.0,
323458,169.0,
324165,157.0,173.0
324167,182.0,
325117,177.0,178.0
326178,182.0,177.0
326499,177.0,
326947,,
328871,173.0,
330281,184.0,184.0
330495,,
331046,178.0,183.0
333018,185.0,
333368,170.0,
333369,166.0,
337066,,
337472,191.0,191.0
345306,162.0,162.0
354216,188.0,
354414,178.0,
355207,183.0,194.0
358250,,
369449,194.0,200.0
371339,191.0,
376165,,
388875,173.0,
39268,178.0,
398612,,
401185,,
402310,182.0,
402318,163.0,
402369,166.0,
405002,185.0,
405508,160.0,
406110,,
413948,,
415688,173.0,
431430,185.0,188.0
447251,,
480040,,
48545,168.0,
541352,,
547191,,
68489,,
70087,,
73057,175.0,185.0
73952,,
78195,183.0,189.0
84813,,
87116,173.0,
99509,,
